make,model,customer_type,next_service_due_days,customer_feedback,feedback_score,preferred_channels,personalized_message,customer_cluster
Ford,Aspire,Retail,357,Poor Service,4,"['WhatsApp', 'Email']",Hello Retail customer! Your Ford Aspire needs maintenance in 357 days. Our team is ready on WhatsApp/Email. Let AutoMoto AI make it easy!,1
Honda,City,Fleet,180,Unresponsive,3,"['WhatsApp', 'Email']",Hello Fleet customer! Your Honda City needs maintenance in 180 days. Our team is ready on WhatsApp/Email. Let AutoMoto AI make it easy!,1
Ford,Figo,Fleet,180,Poor Service,1,"['Email', 'SMS']",Dear valued Fleet customer: Keep your Ford Figo running smooth—service is due in 180. Tap here to confirm your spot with AutoMoto AI! (Apology: You're eligible for our priority care and a 15% recovery discount.),2
Toyota,Innova,Fleet,357,Poor Service,4,"['WhatsApp', 'Email']",Hello Fleet customer! Your Toyota Innova needs maintenance in 357 days. Our team is ready on WhatsApp/Email. Let AutoMoto AI make it easy!,1
Honda,Amaze,Fleet,180,Poor Service,4,"['Email', 'SMS']",Dear valued Fleet customer: Keep your Honda Amaze running smooth—service is due in 180. Tap here to confirm your spot with AutoMoto AI!,2
Ford,Aspire,Corporate,239,Unresponsive,1,"['WhatsApp', 'Phone', 'Email']",Hi Corporate customer! We've lined up special attention for your Ford Aspire. Service due in 239 days. Book via AutoMoto AI for an extra 10% off! (Apology: You're eligible for our priority care and a 15% recovery discount.),0
Ford,EcoSport,Fleet,180,Delayed Pickup,3,"['Email', 'SMS']",Dear valued Fleet customer: Keep your Ford EcoSport running smooth—service is due in 180. Tap here to confirm your spot with AutoMoto AI!,2
Toyota,Yaris,Corporate,180,Average,2,"['WhatsApp', 'Email']",Hello Corporate customer! Your Toyota Yaris needs maintenance in 180 days. Our team is ready on WhatsApp/Email. Let AutoMoto AI make it easy! (Apology: You're eligible for our priority care and a 15% recovery discount.),1
Maruti,Swift,Retail,180,Unresponsive,4,"['WhatsApp', 'Email']",Hello Retail customer! Your Maruti Swift needs maintenance in 180 days. Our team is ready on WhatsApp/Email. Let AutoMoto AI make it easy!,1
Maruti,Dzire,Retail,180,Delayed Pickup,3,"['WhatsApp', 'Email']",Hello Retail customer! Your Maruti Dzire needs maintenance in 180 days. Our team is ready on WhatsApp/Email. Let AutoMoto AI make it easy!,1
Hyundai,Creta,Fleet,180,Unresponsive,4,"['Email', 'SMS']",Dear valued Fleet customer: Keep your Hyundai Creta running smooth—service is due in 180. Tap here to confirm your spot with AutoMoto AI!,2
